trade_id,order_id,execution_price,execution_quantity,trade_timestamp,user_id,asset_id,order_intent,quantity,order_price,status,created_at,security,ticker,asset_type,num_shares
4,5,43520.0000,0.2500,2024-09-08 14:00:00,4,5,BUY,0.2500,43500.0000,FILLED,2024-09-08 13:45:00,Bitcoin,BTC,crypto,1.2500
5,6,0.8600,50.0000,2024-09-09 10:30:00,4,7,BUY,100.0000,0.8500,PARTIALLY_FILLED,2024-09-09 09:30:00,Cardano,ADA,crypto,250.0000
6,8,242.5500,4.0000,2024-09-11 09:45:00,5,9,BUY,4.0000,242.5000,FILLED,2024-09-11 09:30:00,Tesla Inc.,TSLA,equity,8.5000
7,10,195.4500,1.5000,2024-09-06 11:25:00,5,11,BUY,1.5000,195.4000,FILLED,2024-09-06 11:15:00,NVIDIA Corporation,NVDA,equity,12.0000
8,11,238.2500,1.0000,2024-09-10 13:20:00,5,9,SELL,1.0000,238.2000,FILLED,2024-09-10 13:15:00,Tesla Inc.,TSLA,equity,8.5000
9,12,58.8000,10.0000,2024-09-09 11:10:00,6,12,BUY,10.0000,58.7500,FILLED,2024-09-09 11:00:00,Coca-Cola Company,KO,equity,25.0000
10,13,155.3000,5.0000,2024-09-10 10:10:00,6,13,BUY,5.0000,155.2500,FILLED,2024-09-10 10:00:00,Johnson & Johnson,JNJ,equity,10.0000
11,14,142.9000,5.0000,2024-09-05 10:00:00,6,14,BUY,5.0000,142.8000,FILLED,2024-09-05 09:45:00,Procter & Gamble Co.,PG,equity,30.0000
12,16,426.9500,25.0000,2024-09-12 10:15:00,7,16,BUY,25.0000,426.8000,FILLED,2024-09-12 10:00:00,Vanguard S&P 500 ETF,VOO,etf,50.0000
13,18,432.2000,8.0000,2024-09-04 14:35:00,7,16,SELL,8.0000,432.1000,FILLED,2024-09-04 14:30:00,Vanguard S&P 500 ETF,VOO,etf,50.0000
14,19,172.6000,10.0000,2024-09-09 10:10:00,8,18,BUY,10.0000,172.5000,FILLED,2024-09-09 10:00:00,Apple Inc.,AAPL,equity,20.0000
15,20,371.6000,5.0000,2024-09-03 10:05:00,8,19,BUY,5.0000,371.5000,FILLED,2024-09-03 09:55:00,Microsoft Corporation,MSFT,equity,15.0000
16,22,178.5500,3.0000,2024-09-11 14:05:00,8,18,SELL,3.0000,178.5000,FILLED,2024-09-11 14:00:00,Apple Inc.,AAPL,equity,20.0000
17,23,245.8000,2.0000,2024-09-12 15:35:00,9,21,BUY,2.0000,245.7500,FILLED,2024-09-12 15:30:00,Tesla Inc.,TSLA,equity,3.5000
18,24,41600.0000,0.3000,2024-09-12 11:45:00,9,22,BUY,0.5000,41500.0000,PARTIALLY_FILLED,2024-09-12 10:45:00,Bitcoin,BTC,crypto,0.7500
19,25,429.0000,5.0000,2024-09-08 09:45:00,9,23,BUY,5.0000,428.9000,FILLED,2024-09-08 09:35:00,SPDR S&P 500 ETF Trust,SPY,etf,25.0000
20,26,234.8500,10.0000,2024-09-07 10:10:00,10,24,BUY,10.0000,151.2500,FILLED,2024-09-07 10:00:00,Johnson & Johnson,JNJ,equity,40.0000
21,27,151.3000,12.0000,2024-09-13 10:15:00,10,25,BUY,20.0000,151.2500,PARTIALLY_FILLED,2024-09-13 09:30:00,Vanguard Bond Market Index ETF,BND,etf,100.0000
22,28,135.6000,8.0000,2024-09-09 11:40:00,10,26,BUY,8.0000,135.5000,FILLED,2024-09-09 11:30:00,Procter & Gamble Co.,PG,equity,50.0000
23,29,380.3500,4.0000,2024-09-10 10:35:00,11,27,BUY,4.0000,380.2500,FILLED,2024-09-10 10:30:00,Microsoft Corporation,MSFT,equity,8.0000
24,30,2305.5000,1.5000,2024-09-08 09:45:00,11,28,BUY,1.5000,2300.0000,FILLED,2024-09-08 09:35:00,Ethereum,ETH,crypto,5.2500
25,32,525.9000,2.0000,2024-09-11 10:15:00,12,30,BUY,2.0000,525.7500,FILLED,2024-09-11 10:00:00,Berkshire Hathaway Inc.,BRK.B,equity,3.0000
26,33,234.9000,12.0000,2024-09-07 10:10:00,12,31,BUY,12.0000,234.7500,FILLED,2024-09-07 10:00:00,Vanguard S&P 500 ETF,VOO,etf,40.0000
27,34,60.3000,5.0000,2024-09-09 11:10:00,12,32,BUY,5.0000,60.2500,FILLED,2024-09-09 11:00:00,Coca-Cola Company,KO,equity,20.0000
